attack_group_id,display_name,country_code,first_observed_year,target_categories,victim_countries,motivation_tags,notes,reference_url
G0067,,,,"","","Espionage","Backfilled motivation from ATT&CK group description: North Korean state-sponsored cyber espionage group active since at least 2012.",https://attack.mitre.org/groups/G0067/
G1007,,,,"","","Espionage","Backfilled motivation from ATT&CK group description: suspected Chinese cyber espionage threat group active since at least 2013.",https://attack.mitre.org/groups/G1007/
G0047,,,,"","","Espionage","Backfilled motivation from ATT&CK group description: suspected Russian cyber espionage group targeting Ukraine since at least 2013.",https://attack.mitre.org/groups/G0047/
G0092,,,,"","","Financial Gain","Backfilled motivation from ATT&CK group description: cyber criminal group active since at least 2014 and associated with ransomware campaigns.",https://attack.mitre.org/groups/G0092/
G0131,,,,"","","Espionage","Backfilled motivation from ATT&CK group description: suspected Chinese state-sponsored cyber espionage threat group active since at least 2009.",https://attack.mitre.org/groups/G0131/
G0134,,,,"","","Espionage","Backfilled motivation from ATT&CK group description: suspected Pakistan-based threat group primarily targeting diplomatic defense and research organizations since at least 2013.",https://attack.mitre.org/groups/G0134/
G0102,,,,"","","Financial Gain","Backfilled motivation from ATT&CK group description: financially motivated Russia-based threat group associated with TrickBot and ransomware since at least 2016.",https://attack.mitre.org/groups/G0102/
G0049,,IR,,,,,"Backfilled country from ATT&CK group description: suspected Iranian threat group targeting Middle Eastern and international victims since at least 2014.",https://attack.mitre.org/groups/G0049/
G0006,,,2006,,,,"Backfilled first observed year from ATT&CK-linked reporting (Mandiant APT1) referenced by the ATT&CK group page.",https://attack.mitre.org/groups/G0006/
G0005,,,2010,,,,"Backfilled first observed year from ATT&CK-linked reporting referenced by the ATT&CK group page.",https://attack.mitre.org/groups/G0005/
G0022,,,2010,,,,"Backfilled first observed year from ATT&CK-linked reporting referenced by the ATT&CK group page.",https://attack.mitre.org/groups/G0022/
G0066,,,2009,,,,"Backfilled first observed year from ATT&CK group description: reportedly responsible for the 2009 Google intrusion known as Operation Aurora.",https://attack.mitre.org/groups/G0066/
G0024,,,2007,,,,"Backfilled first observed year from ATT&CK-linked CrowdStrike reporting referenced by the ATT&CK group page.",https://attack.mitre.org/groups/G0024/
G0075,,,2017,,,,"Backfilled first observed year from ATT&CK-linked reporting referenced by the ATT&CK group page.",https://attack.mitre.org/groups/G0075/
G0018,,,2012,,,,"Backfilled first observed year from ATT&CK-linked reporting referenced by the ATT&CK group page.",https://attack.mitre.org/groups/G0018/
G1003,,,,Government|Telecommunications|Critical infrastructure,,,"Backfilled target categories from ATT&CK group description: primarily focused on Ukrainian government and telecommunication entities and operated against critical infrastructure.",https://attack.mitre.org/groups/G1003/
G0095,,BR,,,,,"Backfilled country from public reporting cited by ATT&CK-aligned research: Spanish-speaking Machete activity has been assessed as likely originating from Brazil.",https://attack.mitre.org/groups/G0095/
G0054,,UN,,,,,"Backfilled country as unknown because public reporting does not support a country-of-origin attribution for Sowbug.",https://attack.mitre.org/groups/G0054/
G0087,,,,Telecommunications|Education|Hospitality|Individuals,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0087/
G1023,,,,Defense|Telecommunications,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1023/
G1030,,,,Government|Technology,,Espionage|Sabotage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review; excluded Financial Gain because reported ransomware usage is treated as destructive cover activity.",https://attack.mitre.org/groups/G1030/
G0138,,,,Government|Defense|Finance,,Espionage|Financial Gain|Sabotage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0138/
G1002,,,,Government|Energy|Manufacturing,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1002/
G0098,,,,Manufacturing|Media,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0098/
G1021,,,,Government,,Espionage|Financial Gain,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1021/
G1052,,,,Finance|Technology|Individuals,,Espionage|Financial Gain,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1052/
G0070,,,,Government|Individuals|Telecommunications,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0070/
G0137,,,,Individuals,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0137/
G0117,,,,Government|Defense|Energy|Healthcare|Manufacturing|Technology,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0117/
G0093,,,,Government|Telecommunications|Education|Finance,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0093/
G0125,,,,Government|Defense|Education|Healthcare|NGOs|Legal,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0125/
G0136,,,,Government,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0136/
G0119,,,,Finance|Technology|Healthcare,,Financial Gain,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0119/
G0059,,,,Government|Defense|Education|Healthcare|Manufacturing|Individuals,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0059/
G1009,,,,Government|Education|Energy|Finance|Manufacturing|Hospitality,,Financial Gain|Sabotage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G1009/
G0129,,,,Government|Education|NGOs|Religious organization,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0129/
G0133,,,,Government|Individuals,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0133/
G0056,,,,Government|Individuals,,Espionage,"Backfilled tranche 1 target categories and motivation tags from ATT&CK group description and manual review.",https://attack.mitre.org/groups/G0056/
